Id,Name,created_at,Νεα Δημοκρατια,Συριζα,Κιναλ,ΚΚΕ,prob
14855,TOMK***,2021,--,--,-,--,0.33
15461,most***,2021,--,---,--,-,0.15
13352,Dika***,2021,--,---,-,-,0.58
14168,Mant***,2021,--,-,=,+,0.12
18546,Papa***,2016,++,=,=,=,0.17
17029,Mnem***,2022,--,---,=,-,0.59
17383,KKKK***,2022,---,--,-,--,0.61
18129,ddco***,2022,+,--,-,++,0.39
20435,Kat8***,2021,+++,=,=,-,0.20
17064,anti***,2022,---,-,=,=,0.44
15069,Sega***,2021,---,--,--,-,0.69
327,spfl***,2009,---,=,=,=,0.08
8474,Idef***,2016,+,---,+,++,0.13
8697,gree***,2016,-,---,--,--,0.21
8774,varo***,2016,---,--,-,--,0.25
8918,pano***,2017,---,---,+,-,0.45
14965,Gior***,2021,---,=,=,=,0.75
16020,neol***,2022,---,--,--,---,0.69
16395,vasi***,2022,---,--,+,-,0.62
16850,Vang***,2022,--,---,--,--,0.62
17747,Evan***,2021,--,--,--,--,0.12
17748,zRsa***,2021,---,-,=,-,0.46
15280,Anto***,2021,--,---,--,--,0.74
18137,Geor***,2021,--,---,-,---,0.47
18144,anas***,2021,+++,---,-,-,0.27
18145,Apos***,2022,=,---,--,-,0.42
3983,Karr***,2012,---,--,-,-,0.14
12984,Plas***,2020,--,+++,-,-,0.14
13808,aCkr***,2021,---,--,-,--,0.33
13109,m******,2021,+++,=,+,=,0.17
13382,push***,2021,--,---,-,--,0.31
13523,phot***,2021,---,=,=,+,0.19
12947,Dimi***,2020,-,---,-,---,0.19
6078,_cow***,2014,+,-,-,-,0.27
13216,Atha***,2021,--,++,=,--,0.22
13539,Tria***,2021,---,---,+,-,0.43
13765,alex***,2021,---,--,-,-,0.50
13882,dimi***,2021,---,--,-,--,0.35
13908,mich***,2021,---,-,=,-,0.15
14013,neod***,2021,++,--,+,-,0.35
14177,ria0***,2021,+,-,---,+++,0.68
14215,JOHN***,2021,-,--,+,---,0.58
14386,Apok***,2021,+,-,--,+,0.67
14482,M372***,2021,---,---,=,--,0.60
14606,AlKa***,2021,---,--,-,-,0.37
18159,Thek***,2022,---,-,+++,--,0.65
14214,T******,2021,---,=,=,=,0.09
14581,GB27***,2021,---,--,-,--,0.68
15102,drea***,2021,-,---,--,--,0.73
18162,kato***,2022,---,=,--,+,0.25
18156,dim1***,2021,+,-,--,--,0.10
15993,elet***,2022,---,++,+,++,0.36
11303,econ***,2019,--,---,--,--,0.34
18167,kali***,2016,+,-,--,--,0.14
18168,k******,2012,-,---,---,-,0.12
18165,l_Bi***,2022,+,-,---,-,0.08
18171,Quee***,2020,---,--,-,--,0.21
13563,trel***,2021,---,--,--,--,0.49
